Hour,Timestamp,Busyness Predicted,Taxi Zone ID
1,1690761600.0,-0.8827936708453406,144
2,1690765200.0,-0.8803929369556831,144
3,1690768800.0,-0.8405807666188589,144
4,1690772400.0,-0.9056006427970889,144
5,1690776000.0,-0.909901957682725,144
6,1690779600.0,-0.8822935179516616,144
7,1690783200.0,-0.8573329334998148,144
8,1690786800.0,-0.8704899096608442,144
9,1690790400.0,-0.8653883501453214,144
10,1690794000.0,-0.864788166672907,144
11,1690797600.0,-0.8666887476688859,144
12,1690801200.0,-0.8700897873459011,144
13,1690804800.0,-0.8637878608855497,144
14,1690808400.0,-0.8628875856769281,144
15,1690812000.0,-0.8547851087993333,144
16,1690815600.0,-0.8502837327562253,144
17,1690819200.0,-0.8224752318676903,144
18,1690822800.0,-0.8198744368205614,144
19,1690826400.0,-0.8327783814774711,144
20,1690830000.0,-0.8438817757171386,144
21,1690833600.0,-0.8493834575476044,144
22,1690837200.0,-0.837879940992994,144
23,1690840800.0,-0.8132724186240028,144
0,1690758000.0,-0.5969062768186018,148
1,1690761600.0,-0.7194437357698806,148
2,1690765200.0,-0.8016688714906571,148
3,1690768800.0,-0.837079696363108,148
4,1690772400.0,-0.9058007039545599,148
5,1690776000.0,-0.8736908881803882,148
6,1690779600.0,-0.7861641317866174,148
7,1690783200.0,-0.5594585165470393,148
8,1690786800.0,-0.3276239588619951,148
9,1690790400.0,-0.25941021012179183,148
10,1690794000.0,-0.07838647303195673,148
11,1690797600.0,-0.017629195359943454,148
12,1690801200.0,0.09970667349707706,148
13,1690804800.0,0.08310159742694459,148
14,1690808400.0,0.26245642510012274,148
15,1690812000.0,0.45451513627273926,148
16,1690815600.0,0.4425114668244507,148
17,1690819200.0,0.45751605363481157,148
18,1690822800.0,0.5055307314279657,148
19,1690826400.0,0.44671275113135184,148
20,1690830000.0,0.11591162725226661,148
21,1690833600.0,-0.05694121280308848,148
22,1690837200.0,-0.055400900415982744,148
23,1690840800.0,-0.2600032876366364,148
0,1690758000.0,-0.33464198668757444,151
1,1690761600.0,-0.6159538334284096,151
2,1690765200.0,-0.7409503101980643,151
3,1690768800.0,-0.7943666392429481,151
4,1690772400.0,-0.8827936708453406,151
5,1690776000.0,-0.9088016213166322,151
6,1690779600.0,-0.8947973402936293,151
7,1690783200.0,-0.8434816534021954,151
8,1690786800.0,-0.7452516250837007,151
9,1690790400.0,-0.68683376710203,151
10,1690794000.0,-0.4992836995079524,151
11,1690797600.0,-0.3808402267494076,151
12,1690801200.0,-0.2700063455102102,151
13,1690804800.0,-0.23279497022051576,151
14,1690808400.0,-0.0904514566795606,151
15,1690812000.0,-0.06724436241286944,151
16,1690815600.0,-0.1315640245399489,151
17,1690819200.0,-0.03133338464673956,151
18,1690822800.0,-0.004525189545561789,151
19,1690826400.0,-0.04203665657146349,151
20,1690830000.0,-0.08745053931748846,151
