Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
11,1691229600.0,1.009375,238
12,1691233200.0,1.5016204,238
13,1691236800.0,1.7387129,238
14,1691240400.0,1.7280483,238
15,1691244000.0,1.692132,238
16,1691247600.0,1.6202278,238
17,1691251200.0,1.2715257,238
18,1691254800.0,0.9243747,238
19,1691258400.0,0.86012214,238
20,1691262000.0,0.729718,238
21,1691265600.0,0.6649563,238
22,1691269200.0,0.6337434,238
23,1691272800.0,0.62650645,238
0,1691190000.0,0.12982246,239
1,1691193600.0,0.115149975,239
2,1691197200.0,0.094470285,239
3,1691200800.0,0.085245356,239
4,1691204400.0,0.078351885,239
5,1691208000.0,0.07252027,239
6,1691211600.0,0.07826032,239
7,1691215200.0,0.09638572,239
8,1691218800.0,0.29351887,239
9,1691222400.0,0.36132747,239
10,1691226000.0,0.45478565,239
11,1691229600.0,0.4935041,239
12,1691233200.0,0.48887783,239
13,1691236800.0,0.54553664,239
14,1691240400.0,0.534872,239
15,1691244000.0,0.55042094,239
16,1691247600.0,0.5138966,239
17,1691251200.0,0.49404058,239
18,1691254800.0,0.5165885,239
19,1691258400.0,0.48095438,239
20,1691262000.0,0.38670662,239
21,1691265600.0,0.32194498,239
22,1691269200.0,0.2931224,239
23,1691272800.0,0.27216122,239
0,1691190000.0,0.12847562,24
1,1691193600.0,0.108745344,24
2,1691197200.0,0.08806568,24
3,1691200800.0,0.08895391,24
4,1691204400.0,0.082060434,24
5,1691208000.0,0.08178764,24
6,1691211600.0,0.09062454,24
7,1691215200.0,0.14950168,24
8,1691218800.0,0.32643965,24
9,1691222400.0,0.37069085,24
10,1691226000.0,0.45910504,24
11,1691229600.0,0.4724963,24
12,1691233200.0,0.49736786,24
13,1691236800.0,0.5229529,24
14,1691240400.0,0.48783967,24
15,1691244000.0,0.51194304,24
16,1691247600.0,0.53772,24
17,1691251200.0,0.5953856,24
18,1691254800.0,0.4679193,24
19,1691258400.0,0.35814205,24
20,1691262000.0,0.32158476,24
21,1691265600.0,0.2336191,24
22,1691269200.0,0.19539309,24
23,1691272800.0,0.18815613,24
0,1691190000.0,0.099579096,243
1,1691193600.0,0.08490662,243
2,1691197200.0,0.06422695,243
3,1691200800.0,0.050541855,243
4,1691204400.0,0.043648385,243
5,1691208000.0,0.037816778,243
6,1691211600.0,0.022878386,243
7,1691215200.0,-0.015812425,243
8,1691218800.0,0.03876542,243
9,1691222400.0,0.108106785,243
10,1691226000.0,0.20617172,243
11,1691229600.0,0.19988027,243
12,1691233200.0,0.1827693,243
13,1691236800.0,0.19239202,243
14,1691240400.0,0.18172738,243
15,1691244000.0,0.17623237,243
16,1691247600.0,0.14259936,243
17,1691251200.0,0.1076817,243
18,1691254800.0,0.11888077,243
19,1691258400.0,0.09190094,243
20,1691262000.0,0.055717453,243
21,1691265600.0,0.036440313,243
22,1691269200.0,0.05001469,243
23,1691272800.0,0.031611107,243
0,1691190000.0,0.11300459,244
1,1691193600.0,0.02748993,244
2,1691197200.0,-0.0061702696,244
3,1691200800.0,-0.007688858,244
4,1691204400.0,-0.014582332,244
5,1691208000.0,-0.020413943,244
6,1691211600.0,0.15330014,244
7,1691215200.0,0.2375464,244
8,1691218800.0,0.556402,244
9,1691222400.0,0.59684086,244
10,1691226000.0,0.7108829,244
11,1691229600.0,0.8127617,244
12,1691233200.0,0.7338633,244
13,1691236800.0,0.84507084,244
14,1691240400.0,0.90520775,244
15,1691244000.0,1.2116939,244
16,1691247600.0,1.2632444,244
17,1691251200.0,1.5630132,244
18,1691254800.0,1.4715707,244
19,1691258400.0,1.3034829,244
20,1691262000.0,1.0953634,244
21,1691265600.0,0.8437798,244
22,1691269200.0,0.82661986,244
23,1691272800.0,0.70234215,244
0,1691190000.0,0.10324901,246
1,1691193600.0,0.088576555,246
2,1691197200.0,0.06789684,246
3,1691200800.0,0.066378266,246
4,1691204400.0,0.059484813,246
5,1691208000.0,0.05365321,246
6,1691211600.0,0.059393242,246
7,1691215200.0,0.07061696,246
8,1691218800.0,0.17067727,246
9,1691222400.0,0.24001865,246
10,1691226000.0,0.3334768,246
11,1691229600.0,0.34705377,246
12,1691233200.0,0.34840575,246
13,1691236800.0,0.37399086,246
14,1691240400.0,0.36332622,246
15,1691244000.0,0.37887532,246
